央视频道,#genre#
陕西卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182270/main.m3u8
宁夏卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182273/main.m3u8
内蒙古卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182272/main.m3u8
西藏卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182274/main.m3u8
新疆卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182275/main.m3u8
卡酷动画,http://183.215.102.57:8089/180000001001/00000000000000020000000000182277/main.m3u8
嘉佳卡通,http://183.215.102.57:8089/180000001001/00000001000000000022000000381025/main.m3u8
优漫卡通,http://183.215.102.57:8089/180000001001/00000000000000020000000000182321/main.m3u8
炫动卡通,http://183.215.102.57:8089/180000001001/00000000000000020000000000182497/main.m3u8
山东教育,http://183.215.102.57:8089/180000001001/00000001000000000016000000007227/main.m3u8
兵团卫视,http://183.215.102.57:8089/180000001001/00000001000000000022000000381024/main.m3u8
南方卫视,http://183.215.102.57:8089/180000001001/00000000000000020000000000182538/main.m3u8


湖南卫视,http://223.110.241.150:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/      南京移动
江苏卫视,http://223.110.241.150:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
江苏卫视,http://223.110.243.172/PLTV/1/224/3221227552/index.m3u8
北京卫视,http://223.110.241.150:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
浙江卫视,http://223.110.241.150:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/
东方卫视,http://223.110.241.150:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/
安徽卫视,http://223.110.241.150:6610/gitv/live1/AHWS/AHWS/
辽宁卫视,http://223.110.241.150:6610/gitv/live1/LNWS/LNWS/
山东卫视,http://223.110.241.150:6610/gitv/live1/SDWS/SDWS/
广西卫视,http://223.110.241.150:6610/gitv/live1/GXWS/GXWS/
旅游卫视,http://223.110.241.150:6610/gitv/live1/LYWS/LYWS/
重庆卫视,http://223.110.241.150:6610/gitv/live1/G_CHONGQING/G_CHONGQING/
四川卫视,http://223.110.241.150:6610/gitv/live1/SCWS/SCWS/
河南卫视,http://223.110.241.150:6610/gitv/live1/HENAN/HENAN/
东南卫视,http://223.110.241.150:6610/gitv/live1/DNWS/DNWS/
天津卫视,http://223.110.241.150:6610/gitv/live1/TJWS/TJWS/
江西卫视,http://223.110.241.150:6610/gitv/live1/JXWS/JXWS/
湖北卫视,http://223.110.241.150:6610/gitv/live1/G_HUBEI/G_HUBEI/
吉林卫视,http://223.110.241.150:6610/gitv/live1/G_JILIN/G_JILIN/
山西卫视,http://223.110.241.150:6610/gitv/live1/SXWS/SXWS/
贵州卫视,http://223.110.241.150:6610/gitv/live1/G_GUIZHOU/G_GUIZHOU/
青海卫视,http://223.110.241.150:6610/gitv/live1/G_QINGHAI/G_QINGHAI/
内蒙古卫视,http://223.110.241.150:6610/gitv/live1/G_NEIMENGGU/G_NEIMENGGU/
云南卫视,http://223.110.241.150:6610/gitv/live1/G_YUNNAN/G_YUNNAN/
河北卫视,http://223.110.241.150:6610/gitv/live1/G_HEBEI/G_HEBEI/
宁夏卫视,http://223.110.241.150:6610/gitv/live1/G_NINGXIA/G_NINGXIA/
新疆卫视,http://223.110.241.150:6610/gitv/live1/G_XINJIANG/G_XINJIANG/
甘肃卫视,http://223.110.241.150:6610/gitv/live1/G_GANSU/G_GANSU/
西藏卫视,http://223.110.241.150:6610/gitv/live1/G_XIZANG/G_XIZANG/
优漫卡通,http://223.110.241.150:6610/gitv/live1/G_YOUMAN/G_YOUMAN/
浙江卫视,http://223.110.241.150:6610/gitv/live1/G_ZHEJIANG/G_ZHEJIANG/
江苏卫视,http://223.110.241.150:6610/gitv/live1/JSWS-HD/JSWS-HD/
湖南卫视,http://223.110.241.150:6610/gitv/live1/G_HUNAN/G_HUNAN/
东方卫视,http://223.110.241.150:6610/gitv/live1/G_DONGFANG/G_DONGFANG/
北京卫视,http://223.110.241.150:6610/gitv/live1/G_BEIJING/G_BEIJING/
