央视频道,#genre#
金鹰纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226737/1.m3u8
北京冬奥纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225944/1.m3u8

国家地理野生,vjms://58.215.133.185:8500:3502/live/cid=263#vjms://121.14.222.75:8500:3502/live/cid=263#vjms://23.237.33.155:8500:3502/live/cid=263
国家地理,vjms://58.215.133.185:8500:3502/live/cid=115#vjms://121.14.222.75:8500:3502/live/cid=115#vjms://23.237.33.155:8500:3502/live/cid=115#rtmp://58.200.131.2:1935/livetv/natlgeo
探索频道,rtmp://58.200.131.2:1935/livetv/discovery
探索亚洲,vjms://58.215.133.185:8500:3502/live/cid=440#vjms://121.14.222.75:8500:3502/live/cid=440#vjms://23.237.33.155:8500:3502/live/cid=440
探索科学,vjms://58.215.133.185:8500:3502/live/cid=457#vjms://121.14.222.75:8500:3502/live/cid=457#vjms://23.237.33.155:8500:3502/live/cid=457
动物星球,vjms://58.215.133.185:8500:3502/live/cid=3#vjms://121.14.222.75:8500:3502/live/cid=3#p8p://0198.02686.cc:16871/5d1a69da000a2acf11be734ba3f44eda.ts#vjms://23.237.33.155:8500:3502/live/cid=3
美食星球,http://pili-live-hdl.qhmywl.com/dsdtv/7f2e2b78b85222886ccb3792c905408e.flv



DOX频道,#genre#
DOX院线,http://39.135.16.151:6610/PLTV/88888888/224/3221226013/1/index.m3u8?fmt=ts2hls     
DOX新知,http://39.135.16.151:6610/PLTV/88888888/224/3221226014/1/index.m3u8?fmt=ts2hls
DOX怡家,http://39.135.16.151:6610/PLTV/88888888/224/3221226016/1/index.m3u8?fmt=ts2hls
DOX新艺,http://39.135.16.151:6610/PLTV/88888888/224/3221226017/1/index.m3u8?fmt=ts2hls
DOX 4K,http://39.135.16.151:6610/PLTV/88888888/224/3221226019/1/index.m3u8?fmt=ts2hls
G+TV7,http://39.135.16.151:6610/PLTV/88888888/224/3221226020/1/index.m3u8?fmt=ts2hls
科普中国,http://39.135.16.151:6610/PLTV/88888888/224/3221226036/1/index.m3u8?fmt=ts2hls
DOX美剧,http://39.135.16.151:6610/PLTV/88888888/224/3221226039/1/index.m3u8?fmt=ts2hls
DOX映画,http://39.135.16.151:6610/PLTV/88888888/224/3221226042/1/index.m3u8?fmt=ts2hls
DOX英伦,http://39.135.16.151:6610/PLTV/88888888/224/3221226045/1/index.m3u8?fmt=ts2hls
DOXTV,http://39.135.16.151:6610/PLTV/88888888/224/3221226048/1/index.m3u8?fmt=ts2hls
G+TV7,http://39.135.16.151:6610/PLTV/88888888/224/3221226020/1/index.m3u8?fmt=ts2hls




湖南频道,#genre#
快乐垂钓,http://112.50.243.12/PLTV/88888888/224/3221226940/1.m3u8
茶频道,http://112.50.243.12/PLTV/88888888/224/3221226859/1.m3u8
先锋乒羽,http://112.50.243.12/PLTV/88888888/224/3221226851/1.m3u8
娄底公共频道,http://mms.ldntv.cn:1935/live/gonggong/playlist.m3u8





精彩4K,#genre#
BesTV 4k,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8
纯享 4K,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226825/index.m3u8
纯享 4K,http://112.50.243.8/PLTV/88888888/224/3221226825/index.m3u8
CCTV 4K,http://117.148.187.83/PLTV/88888888/224/3221226758/index.m3u8
爱上4K,http://1.180.237.9/live.aishang.ctlcdn.com/00000110240282_1/encoder/0/playlist.m3u8
bestTV 4K,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8
咪咕4K,http://39.134.52.180/PLTV/88888888/224/3221226162/index.m3u8
DOX 4K,http://39.135.16.151:6610/PLTV/88888888/224/3221226019/1/index.m3u8?fmt=ts2hls


